EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,TOC,TOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG_C,,/MILLE,,/MILLE,/MILLE,,/MILLE,UMOL/KG,,KBQ/CUM,,KBQ/CUM,BQ/CUM,,BQ/CUM,MBQ/CUM,,MBQ/CUM,DEG C,KG/CUM
49NZ20030909,   P06,127,4,5,12017,2,20030912,1358,-32.511,-149.8195,5025,4999.6,2,1.1752,2,1.17505,2,34.7107,2,34.7107,2,197.72,2,4999.7,2,202.59,2,202.21,2,117.19,2,0.38,32.34,2,0.12,-0.01,2,0.01,2.26,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,-0.02,2,0.02,-999,1,-999,0.7519,27.829
49NZ20030909,   P06,127,4,4,12016,2,20030912,1358,-32.511,-149.8195,5025,5151.3,2,1.182,2,1.18195,2,34.7109,2,34.7104,2,199.7,2,5151.3,2,202.69,2,202.75,2,117.49,2,0.38,32.18,2,0.12,-0.01,2,0.01,2.25,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0,2,0.01,-999,1,-999,0.7401,27.8299
49NZ20030909,   P06,127,4,3,12015,2,20030912,1358,-32.511,-149.8195,5025,1000.7,2,4.9313,2,4.93126,2,34.3135,2,-999,9,204.72,2,1000,2,210.55,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,-999,9,-999,-999,9,-999,4.8488,27.1482
49NZ20030909,   P06,127,4,2,12014,2,20030912,1358,-32.511,-149.8195,5025,600.4,2,7.0815,2,7.08025,2,34.396,2,-999,9,235.73,2,600.2,2,238.89,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,-999,9,-999,-999,9,-999,7.0238,26.9397
49NZ20030909,   P06,127,4,1,12013,2,20030912,1358,-32.511,-149.8195,5025,5151.3,2,1.1818,2,1.18166,2,34.7108,2,-999,9,199.82,2,5151.3,2,202.72,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,0.7399,27.8298
49NZ20030909,   P06,125,2,0,-999,9,20030912,2314,-32.5118,-148.1507,4469,-999,9,-999,9,-999,9,-999,9,35.3157,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20030909,   P06,125,2,36,12048,2,20030912,2314,-32.5118,-148.1507,4469,11.4,2,16.589,2,16.59122,2,35.2947,2,35.2949,2,234.07,2,10.2,2,240.93,2,240.89,2,0.13,2,0.12,-0.1,2,0.03,0,2,0.01,0.16,2,0.02,-999,5,-999,5,-999,5,2048.1,2,2314.6,2,7.9895,25,2,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,16.5872,25.8381
49NZ20030909,   P06,125,2,35,12047,2,20030912,2314,-32.5118,-148.1507,4469,51.2,2,16.5482,2,16.54823,2,35.2962,2,35.2962,2,234.14,2,50.9,2,240.79,2,240.79,2,0.11,2,0.12,-0.11,2,0.03,0,2,0.01,0.16,2,0.02,-999,5,-999,5,-999,5,2048.9,6,2314.6,2,7.9901,25,2,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,16.5399,25.8504
49NZ20030909,   P06,125,2,34,12046,2,20030912,2314,-32.5118,-148.1507,4469,99.5,2,16.4046,2,16.40488,2,35.2914,2,35.2914,2,233.03,2,99.1,2,240,2,239.96,2,0.12,2,0.12,-0.12,2,0.03,0.01,2,0.01,0.16,2,0.02,-999,5,-999,5,-999,5,2049.2,2,2315.4,6,7.9863,25,2,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,16.3886,25.882
49NZ20030909,   P06,125,2,33,12045,2,20030912,2314,-32.5118,-148.1507,4469,150.3,2,15.6426,2,15.62578,2,35.2005,2,35.2063,2,225.63,2,159.9,2,231.88,2,232.67,2,0.16,2,0.12,0.74,2,0.03,0.1,2,0.01,0.26,2,0.01,-999,5,-999,5,-999,5,2061.5,2,2310.7,2,7.9615,25,6,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,15.6192,25.9885
49NZ20030909,   P06,125,2,32,12044,2,20030912,2314,-32.5118,-148.1507,4469,200.1,2,14.4626,2,14.46227,2,35.0756,2,35.0761,2,217.48,2,198.2,2,221.32,2,223.42,2,0.42,2,0.12,3.25,2,0.04,0.01,2,0.01,0.42,2,0.01,-999,5,-999,5,-999,5,2076.6,2,2306.5,2,7.9233,25,2,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,14.433,26.1535
